,Job Title,Company,Location,Salary,Search Term,lower_sal_val,upper_sal_val,mean salary,median_bool,60_perc_bool,70_perc_bool,75_perc_bool,90_perc_bool,state
4582,Business Development/ Market Research Analyst,    Eyebrow Express,"Alexandria, VA 22314 (Southwest Quadrant area)",43200,"Herndon, VA",43200,43200,43200.0,False,False,False,False,False,['VA']
4610,Data Architect,        TEKSystems,"Falls Church, VA",100000 - 140000,"Herndon, VA",100000,140000,120000.0,True,False,False,False,False,['VA']
4617,Big Data/IoT Software Engineer,        Jobspring Partners,"Washington, DC",100000 - 160000,"Herndon, VA",100000,160000,130000.0,True,True,False,False,False,['DC']
4700,Research Associate Level I (Process Development Dpt.),"    ProMetic BioTherapeutics, Inc. (PBT)","Rockville, MD",46000,"Herndon, VA",46000,46000,46000.0,False,False,False,False,False,['MD']
4788,VP of Advanced Analytics,    Harnham,"Washington, DC",250000,"Herndon, VA",250000,250000,250000.0,True,True,True,True,True,['DC']
4796,Research Assistant,"    Sirnaomics,Inc","Gaithersburg, MD 20879",28000 - 35000,"Herndon, VA",28000,35000,31500.0,False,False,False,False,False,['MD']
4812,Apps Developer,        Central Intelligence Agency,"Washington, DC",58638 - 123234,"Herndon, VA",58638,123234,90936.0,False,False,False,False,False,['DC']
4919,Data Scientist,    Keyo,"Palo Alto, CA",120000 - 200000,"Menlo Park, CA",120000,200000,160000.0,True,True,True,True,False,['CA']
4935,Data Scientist,        Jobspring Partners,"Palo Alto, CA 94303 (Duveneck-Saint Francis area)",175000,"Menlo Park, CA",175000,175000,175000.0,True,True,True,True,False,['CA']
4994,"Senior Scientist III, Pre-Clinical Safety",    EPM Scientific,"Redwood City, CA",140000,"Menlo Park, CA",140000,140000,140000.0,True,True,False,False,False,['CA']
4995,"Principal Software Engineer, Data Science",    MatchPointe Group,"Santa Clara, CA",100000 - 150000,"Menlo Park, CA",100000,150000,125000.0,True,False,False,False,False,['CA']
5019,Associate Data Scientist,    Harnham,"San Mateo, CA",130000,"Menlo Park, CA",130000,130000,130000.0,True,True,False,False,False,['CA']
5180,Big Data Engineer,        Jobspring Partners,"Mountain View, CA 94043",170000,"Menlo Park, CA",170000,170000,170000.0,True,True,True,True,False,['CA']
5228,Senior Data Scientist,        Workbridge Associates,"Mountain View, CA 94039",200000,"Menlo Park, CA",200000,200000,200000.0,True,True,True,True,True,['CA']
5330,Planning and Research Analyst (HSI-Grant Funded),        San Mateo County Community College District,"San Mateo, CA",97116,"Menlo Park, CA",97116,97116,97116.0,False,False,False,False,False,['CA']
5386,"Principle Scientist, Data Science, System integration",    MatchPointe Group,"Santa Clara, CA",100000 - 150000,"Menlo Park, CA",100000,150000,125000.0,True,False,False,False,False,['CA']
5442,Data Engineer,        Jobspring Partners,"San Jose, CA 95113 (Downtown area)",130000 - 165000,"Menlo Park, CA",130000,165000,147500.0,True,True,True,False,False,['CA']
5447,Machine Learning Engineer/Scientist,        Jobspring Partners,"San Jose, CA 95113 (Downtown area)",150000 - 175000,"Menlo Park, CA",150000,175000,162500.0,True,True,True,True,False,['CA']
5523,Software Engineer/Machine Learning,        LB &amp; Associates,"San Jose, CA",150000 - 200000,"Menlo Park, CA",150000,200000,175000.0,True,True,True,True,False,['CA']
5535,Mid-Level QA Engineer,        Workbridge Associates,"San Jose, CA 95113 (Downtown area)",100000,"Menlo Park, CA",100000,100000,100000.0,False,False,False,False,False,['CA']
5541,Machine Learning Algorithm Engineer,    3coast,"San Mateo, CA",120000 - 180000,"Menlo Park, CA",120000,180000,150000.0,True,True,True,True,False,['CA']
5547,Site Reliability Engineer,    MountainView Tech Staffing,"San Mateo, CA",120000 - 140000,"Menlo Park, CA",120000,140000,130000.0,True,True,False,False,False,['CA']
5701,Machine Learning Engineer - Computer Vision,        Jobspring Partners,"San Jose, CA 95113 (Downtown area)",190000,"Menlo Park, CA",190000,190000,190000.0,True,True,True,True,True,['CA']
5766,"Data Scientist II, Sequencing",    Enterprise Select,"Pleasanton, CA 94588",120000,"Menlo Park, CA",120000,120000,120000.0,True,False,False,False,False,['CA']
5824,Data Scientist,        Jobspring Partners,"King of Prussia, PA 19406",125000,"Collegeville, PA",125000,125000,125000.0,True,False,False,False,False,['PA']
5825,Data Scientist,"    Computer Enterprises, Inc. (CEI)","Philadelphia, PA",160000,"Collegeville, PA",160000,160000,160000.0,True,True,True,True,False,['PA']
5846,Data Scientist,        Workbridge Associates,"Philadelphia, PA",95000 - 120000,"Collegeville, PA",95000,120000,107500.0,False,False,False,False,False,['PA']
5855,Clinical Study Associate Trial Master File – TMF,    inVentiv Health Clincal,"Collegeville, PA",50000 - 62000,"Collegeville, PA",50000,62000,56000.0,False,False,False,False,False,['PA']
5972,Director of Data Science,    Averity,"Philadelphia, PA",175000 - 215000,"Collegeville, PA",175000,215000,195000.0,True,True,True,True,True,['PA']
5993,Principal Data Scientist,    Averity,"Philadelphia, PA",155000 - 160000,"Collegeville, PA",155000,160000,157500.0,True,True,True,True,False,['PA']
6010,Senior Statistician/Data Scientist-PHARMA,        Smith Hanley Associates,"Horsham, PA",120000,"Collegeville, PA",120000,120000,120000.0,True,False,False,False,False,['PA']
6063,Quantitative Analyst (Big Data Focus) at $10+ Billion Hedge...,    Averity,"Philadelphia, PA",200000 - 300000,"Collegeville, PA",200000,300000,250000.0,True,True,True,True,True,['PA']
6102,Senior Software Engineer (Scala),    Juno Search Partners,"Philadelphia, PA 19107 (City Center East area)",120000,"Collegeville, PA",120000,120000,120000.0,True,False,False,False,False,['PA']
6108,Data Science Manager Healthcare,    Harnham,"Philadelphia, PA",170000,"Collegeville, PA",170000,170000,170000.0,True,True,True,True,False,['PA']
6166,"Backend Java Developer - Fully AWS, Machine Learning, BioPha...",        Workbridge Associates,"Philadelphia, PA",90000 - 160000,"Collegeville, PA",90000,160000,125000.0,True,False,False,False,False,['PA']
6173,Data Scientist Healthcare,    Harnham,"Philadelphia, PA",130000,"Collegeville, PA",130000,130000,130000.0,True,True,False,False,False,['PA']
6193,Angular Software Developer,        Jobspring Partners,"Horsham, PA 19044",100000,"Collegeville, PA",100000,100000,100000.0,False,False,False,False,False,['PA']
6259,Sr Quantitative Finance Analyst,    Sr Quantitative Finance Analyst,"New York, NY",100000 - 180000,"Roseland, NJ",100000,180000,140000.0,True,True,False,False,False,['NY']
6260,Senior Statistical Programmer,    Whiz Finder Corporation,"East Hanover, NJ",105000 - 125000,"Roseland, NJ",105000,125000,115000.0,True,False,False,False,False,['NJ']
6269,Data Scientist,        Oliver James Associates,"New York, NY",160000,"Roseland, NJ",160000,160000,160000.0,True,True,True,True,False,['NY']
6276,Data Scientist,    indify,"New York, NY",90000 - 170000,"Roseland, NJ",90000,170000,130000.0,True,True,False,False,False,['NY']
6322,Data Scientist,    Enterprise Select,"New York, NY 10038 (Financial District area)",130000,"Roseland, NJ",130000,130000,130000.0,True,True,False,False,False,['NY']
6342,Machine Learning Engineer,        Darwin Recruitment,"New York, NY",120000 - 140000,"Roseland, NJ",120000,140000,130000.0,True,True,False,False,False,['NY']
6343,Data Architect/ Data Engineer,"    Envisagenics, Inc.","New York, NY",65000 - 110000,"Roseland, NJ",65000,110000,87500.0,False,False,False,False,False,['NY']
6381,Senior Research Analyst,        Research Foundation of The City University of New...,"New York, NY",70000 - 80000,"Roseland, NJ",70000,80000,75000.0,False,False,False,False,False,['NY']
6393,"Data Team Leader (VP, Director)",        VROOM,"New York, NY",140000 - 180000,"Roseland, NJ",140000,180000,160000.0,True,True,True,True,False,['NY']
6394,Senior Data Scientist,        Analytic Recruiting,"New York, NY 10017 (Midtown area)",160000,"Roseland, NJ",160000,160000,160000.0,True,True,True,True,False,['NY']
6414,Data Analyst,        ADMIN FOR CHILDREN'S SVCS,"Manhattan, NY",70286 - 88213,"Roseland, NJ",70286,88213,79249.5,False,False,False,False,False,['NY']
6422,VP Data Science,    Beeswax,"New York, NY",130000 - 165000,"Roseland, NJ",130000,165000,147500.0,True,True,True,False,False,['NY']
6428,Senior Statistical Programmer,        Clark Davis Associates,"Parsippany, NJ 07054",115000,"Roseland, NJ",115000,115000,115000.0,True,False,False,False,False,['NJ']
6441,"Project Associate, EQUAL",    NYU Global TIES for Children,"New York, NY",52000,"Roseland, NJ",52000,52000,52000.0,False,False,False,False,False,['NY']
6442,"Director of Data Science, Analytics",    Averity,"New York, NY",175000 - 250000,"Roseland, NJ",175000,250000,212500.0,True,True,True,True,True,['NY']
6446,Principal Data Scientist,    Averity,"New York, NY",150000 - 185000,"Roseland, NJ",150000,185000,167500.0,True,True,True,True,False,['NY']
6526,Frontend Engineer,    605,"New York, NY",95000 - 130000,"Roseland, NJ",95000,130000,112500.0,True,False,False,False,False,['NY']
6532,Health Scientist,        Centers for Disease Control and Prevention,"New York, NY",88305 - 146570,"Roseland, NJ",88305,146570,117437.5,True,False,False,False,False,['NY']
6562,Senior Data Scientist ( FinTech / Fraud / Python / R / Machi...,    Venturi Ltd,"New York, NY",100000 - 135000,"Roseland, NJ",100000,135000,117500.0,True,False,False,False,False,['NY']
6595,Lead Data Scientist,    Averity,"New York, NY",120000 - 140000,"Roseland, NJ",120000,140000,130000.0,True,True,False,False,False,['NY']
6599,Data Engineer,    Harnham,"New York, NY",150000,"Roseland, NJ",150000,150000,150000.0,True,True,True,True,False,['NY']
6614,"Senior Data Scientist for Multi-Billion, Top-Ranked Global C...",    Averity,"New York, NY",100000 - 120000,"Roseland, NJ",100000,120000,110000.0,True,False,False,False,False,['NY']
6638,Research Scientist,"    Solidia Technologies, Inc.","Piscataway, NJ 08854",70000 - 140000,"Roseland, NJ",70000,140000,105000.0,False,False,False,False,False,['NJ']
6656,DATA ANALYST,        HRA/DEPT OF SOCIAL SERVICES,"Manhattan, NY",57969 - 62000,"Roseland, NJ",57969,62000,59984.5,False,False,False,False,False,['NY']
6658,Hydrologist,        NYC Parks Dept,"New York, NY",72000 - 84000,"Roseland, NJ",72000,84000,78000.0,False,False,False,False,False,['NY']
6659,Senior Data Scientist ( FinTech / Python / R / ML / Big Data...,    Venturi Ltd,"New York, NY",120000 - 200000,"Roseland, NJ",120000,200000,160000.0,True,True,True,True,False,['NY']
